"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AXAS","Abraxas Petroleum Corporation","1.34","223251028.3","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","38.75","163431845","n/a","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ae",
"ARLP","Alliance Resource Partners, L.P.","20.33","2610192913.03","n/a","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"AMR","Alta Mesa Resources, Inc.","0.3656","139249388.3576","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","0.048","0","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amrww",
"AETI","American Electric Technologies, Inc.","0.7401","6712211.133","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti",
"APC","Anadarko Petroleum Corporation","44.67","22316059562.64","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc",
"ANDX","Andeavor Logistics LP","34.72","8525542247.04","n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx",
"AR","Antero Resources Corporation","8.33","2571062996.6","n/a","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","34.32","12883919745.84","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","1.06","100177074.44","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/arex",
"ARCH","Arch Coal, Inc.","92.49","1636044048.75","n/a","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.7","292888753.2","n/a","n/a","Energy","Electric Utilities: Central","https://www.nasdaq.com/symbol/at",
"BHGE","Baker Hughes, a GE company","27.25","28242291446.25","n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/bhge",
"BLDP","Ballard Power Systems, Inc.","3.2","742092720","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bldp",
"BRN","Barnwell Industries, Inc.","1.31","10843079.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/brn",
