"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TPNL","3PEA International, Inc.","7.7","357280000","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",
"ACTG","Acacia Research Corporation","3.15","156363854.85","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","164.11","104826773460.77","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","72.72","11868812781.84","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","180.7","468407695420.6","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","1.69","64264675.15","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","171.05","9065254019.25","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","3.03","80650903.8","n/a","1994","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/artx",
"ATKR","Atkore International Group Inc.","21.99","1011110557.29","n/a","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atkr",
"RILY","B. Riley Financial, Inc.","17.03","453782112.29","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rily",
"RILYG","B. Riley Financial, Inc.","24.596","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyg",
"RILYH","B. Riley Financial, Inc.","25.75","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyh",
"RILYI","B. Riley Financial, Inc.","25.4464","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyi",
"RILYL","B. Riley Financial, Inc.","25.3201","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyl",
"RILYZ","B. Riley Financial, Inc.","24.81","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyz",
