,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
0,9603,9603,9603,9603,Sell,2016-12-09,2016-12-12 14:21:34,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,202,$31.6700,"$6,397.3400","55,215",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
1,9604,9604,9604,9604,Sell,2016-12-09,2016-12-12 14:21:34,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,10,$31.6100,$316.1000,"52,662",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
2,9605,9605,9605,9605,Sell,2016-12-09,2016-12-12 14:21:34,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,200,$31.5500,"$6,310.0000","50,100",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
3,9606,9606,9606,9606,Sell,2016-12-09,2016-12-12 14:21:34,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,460,$31.6900,"$14,577.4000","56,118",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
4,9607,9607,9607,9607,Sell,2016-12-09,2016-12-12 14:21:34,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,211,$31.6300,"$6,673.9300","52,772",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
5,9608,9608,9608,9608,Sell,2016-12-09,2016-12-12 14:21:34,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,300,$31.5700,"$9,471.0000","51,200",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
6,9609,9609,9609,9609,Sell,2016-12-09,2016-12-12 14:21:34,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,13,$31.7200,$412.3600,"56,875",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
7,9610,9610,9610,9610,Sell,2016-12-09,2016-12-12 14:21:34,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,500,$31.6500,"$15,825.0000","54,392",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
8,9611,9611,9611,9611,Sell,2016-12-09,2016-12-12 14:21:34,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,562,$31.5900,"$17,753.6000","51,700",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
9,9612,9612,9612,9612,Sell,2016-12-09,2016-12-12 14:19:08,CENTRAL PACIFIC FINANCIAL CORP,CPF,Dean John C, other,200,$31.9000,"$6,380.0000","61,107",Form 4,Finance,827031995.88,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=344, tm_isdst=-1)",30.05327796936035,29.327171325683594,29.459192276000977,29.0537052154541,29.09142303466797,28.921682357788086,29.034841537475586,27.7396183013916,28.977340698242188
