,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
0,449,449,449,449,Buy,2017-01-05,2017-01-05 20:14:50,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"10,000",$39.0925,"$390,925.0000","34,155,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=5, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=5, tm_isdst=-1)",72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,75.7699966430664,75.20999908447266,81.47000122070312,94.94000244140625,139.52000427246094
1,599,599,599,599,Sell,2017-01-05,2017-01-05 20:14:50,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"10,000",$73.1091,"$731,091.0000","34,145,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=5, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=5, tm_isdst=-1)",72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,75.7699966430664,75.20999908447266,81.47000122070312,94.94000244140625,139.52000427246094
2,754,754,754,754,Sell,2017-01-05,2017-01-05 20:11:30,SALESFORCE COM INC,CRM,Roos John Victor, director,144,$72.8100,"$10,484.6000","18,212",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=5, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=5, tm_isdst=-1)",72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,75.7699966430664,75.20999908447266,81.47000122070312,94.94000244140625,139.52000427246094
3,1329,1329,1329,1329,Buy,2017-01-04,2017-01-04 20:49:54,SALESFORCE COM INC,CRM,Hawkins Mark J, officer,"25,874",$59.6400,"$1,543,130.0000","36,780",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=4, tm_isdst=-1)",72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,75.7699966430664,80.81999969482422,94.86000061035156,139.8000030517578
4,1335,1335,1335,1335,Sell,2017-01-03,2017-01-04 20:41:00,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"7,800",$70.3944,"$549,076.0000","34,145,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",70.54000091552734,72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,81.66999816894531,95.20999908447266,138.41000366210938
5,1336,1336,1336,1336,Sell,2017-01-03,2017-01-04 20:41:00,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"2,200",$69.9973,"$153,994.0000","34,153,300",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",70.54000091552734,72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,81.66999816894531,95.20999908447266,138.41000366210938
6,1337,1337,1337,1337,Sell,2017-01-04,2017-01-04 20:41:00,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"4,600",$71.6811,"$329,733.0000","34,150,900",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=4, tm_isdst=-1)",72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,75.7699966430664,80.81999969482422,94.86000061035156,139.8000030517578
7,1478,1478,1478,1478,Sell,2017-01-04,2017-01-04 20:49:54,SALESFORCE COM INC,CRM,Hawkins Mark J, officer,"25,874",$72.0000,"$1,862,930.0000","10,906",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=4, tm_isdst=-1)",72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,75.7699966430664,80.81999969482422,94.86000061035156,139.8000030517578
8,1485,1485,1485,1485,Buy,2017-01-04,2017-01-04 20:41:00,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"10,000",$39.0925,"$390,925.0000","34,155,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=4, tm_isdst=-1)",72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,75.7699966430664,80.81999969482422,94.86000061035156,139.8000030517578
9,1486,1486,1486,1486,Buy,2017-01-03,2017-01-04 20:41:00,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"10,000",$39.0925,"$390,925.0000","34,155,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",70.54000091552734,72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,81.66999816894531,95.20999908447266,138.41000366210938
10,1487,1487,1487,1487,Sell,2017-01-04,2017-01-04 20:41:00,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"5,400",$72.7061,"$392,613.0000","34,145,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=4, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=4, tm_isdst=-1)",72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,73.9800033569336,75.7699966430664,80.81999969482422,94.86000061035156,139.8000030517578
11,3004,3004,3004,3004,Sell,2016-12-30,2016-12-30 18:06:10,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"12,200",$68.6007,"$836,929.0000","34,145,800",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=30, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=365, tm_isdst=-1)",68.45999908447266,70.54000091552734,72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,80.91999816894531,95.3499984741211,138.41000366210938
12,3154,3154,3154,3154,Sell,2016-12-30,2016-12-30 18:06:10,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,300,$69.3400,"$20,802.0000","34,145,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=30, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=365, tm_isdst=-1)",68.45999908447266,70.54000091552734,72.80000305175781,72.79000091552734,73.80000305175781,73.95999908447266,80.91999816894531,95.3499984741211,138.41000366210938
13,3267,3267,3267,3267,Sell,2016-12-29,2016-12-29 18:39:15,SALESFORCE COM INC,CRM,Roos John Victor, director,144,$68.8000,"$9,907.2000","19,426",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=29, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=364, tm_isdst=-1)",69.1500015258789,68.45999908447266,70.54000091552734,72.80000305175781,72.79000091552734,73.80000305175781,80.91000366210938,95.73999786376953,136.5
14,3269,3269,3269,3269,Sell,2016-12-29,2016-12-29 18:32:12,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"12,500",$69.2613,"$865,766.0000","34,158,000",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=29, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=364, tm_isdst=-1)",69.1500015258789,68.45999908447266,70.54000091552734,72.80000305175781,72.79000091552734,73.80000305175781,80.91000366210938,95.73999786376953,136.5
15,3444,3444,3444,3444,Sell,2016-12-28,2016-12-28 18:51:51,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"12,300",$69.3230,"$852,673.0000","34,170,700",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=363, tm_isdst=-1)",69.08999633789062,69.1500015258789,68.45999908447266,70.54000091552734,72.80000305175781,72.79000091552734,80.63999938964844,94.62999725341797,136.25999450683594
16,3445,3445,3445,3445,Sell,2016-12-28,2016-12-28 18:51:51,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,200,$70.0500,"$14,010.0000","34,170,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=363, tm_isdst=-1)",69.08999633789062,69.1500015258789,68.45999908447266,70.54000091552734,72.80000305175781,72.79000091552734,80.63999938964844,94.62999725341797,136.25999450683594
17,3446,3446,3446,3446,Sell,2016-12-28,2016-12-28 18:48:22,SALESFORCE COM INC,CRM,Robbins Cynthia G., officer,"2,935",$69.8500,"$205,010.0000",230,Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=363, tm_isdst=-1)",69.08999633789062,69.1500015258789,68.45999908447266,70.54000091552734,72.80000305175781,72.79000091552734,80.63999938964844,94.62999725341797,136.25999450683594
18,3594,3594,3594,3594,Sell,2016-12-23,2016-12-28 18:51:51,SALESFORCE COM INC,CRM,Benioff Marc, director officer 10% owner,"12,500",$69.8065,"$872,581.0000","34,195,500",Form 4,Technology,123213510000.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=23, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=358, tm_isdst=-1)",69.87000274658203,69.8499984741211,69.08999633789062,69.1500015258789,68.45999908447266,70.54000091552734,80.69999694824219,95.61000061035156,133.52999877929688
