,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
0,3119,3119,3119,3119,Sell,2016-12-27,2016-12-29 18:36:02,Facebook Inc,FB,Cox Christopher K, officer,"15,600",$117.1100,"$1,826,920.0000","376,738",Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=362, tm_isdst=-1)",118.01000213623047,116.91999816894531,116.3499984741211,115.05000305175781,116.86000061035156,118.69000244140625,134.13999938964844,170.9600067138672,191.5399932861328
1,3120,3120,3120,3120,Sell,2016-12-27,2016-12-29 18:31:33,Facebook Inc,FB,Stretch Colin, officer,100,$117.0800,"$11,708.0000","79,859",Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=362, tm_isdst=-1)",118.01000213623047,116.91999816894531,116.3499984741211,115.05000305175781,116.86000061035156,118.69000244140625,134.13999938964844,170.9600067138672,191.5399932861328
2,3270,3270,3270,3270,Sell,2016-12-27,2016-12-29 18:31:33,Facebook Inc,FB,Stretch Colin, officer,650,$118.2570,"$76,867.0000","79,209",Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=362, tm_isdst=-1)",118.01000213623047,116.91999816894531,116.3499984741211,115.05000305175781,116.86000061035156,118.69000244140625,134.13999938964844,170.9600067138672,191.5399932861328
3,3738,3738,3738,3738,Sell,2016-12-22,2016-12-27 17:56:27,Facebook Inc,FB,Sandberg Sheryl, director,"17,433",$118.2360,"$2,061,210.0000","2,984,150",Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=357, tm_isdst=-1)",117.4000015258789,117.2699966430664,118.01000213623047,116.91999816894531,116.3499984741211,115.05000305175781,131.83999633789062,172.9600067138672,188.17999267578125
4,3739,3739,3739,3739,Sell,2016-12-22,2016-12-27 17:56:27,Facebook Inc,FB,Sandberg Sheryl, director,"16,821",$118.2580,"$1,989,220.0000","2,927,560",Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=357, tm_isdst=-1)",117.4000015258789,117.2699966430664,118.01000213623047,116.91999816894531,116.3499984741211,115.05000305175781,131.83999633789062,172.9600067138672,188.17999267578125
5,3887,3887,3887,3887,Sell,2016-12-22,2016-12-27 17:56:27,Facebook Inc,FB,Sandberg Sheryl, director,"34,971",$117.3790,"$4,104,840.0000","3,001,580",Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=357, tm_isdst=-1)",117.4000015258789,117.2699966430664,118.01000213623047,116.91999816894531,116.3499984741211,115.05000305175781,131.83999633789062,172.9600067138672,188.17999267578125
6,3888,3888,3888,3888,Sell,2016-12-22,2016-12-27 17:56:27,Facebook Inc,FB,Sandberg Sheryl, director,"39,775",$117.3800,"$4,668,800.0000","2,944,380",Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=357, tm_isdst=-1)",117.4000015258789,117.2699966430664,118.01000213623047,116.91999816894531,116.3499984741211,115.05000305175781,131.83999633789062,172.9600067138672,188.17999267578125
7,4515,4515,4515,4515,Sell,2016-12-20,2016-12-22 19:07:34,Facebook Inc,FB,Zuckerberg Mark, director officer 10% owner,"125,825",$119.2130,"$15,000,000.0000","350,169",Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=20, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=355, tm_isdst=-1)",119.08999633789062,119.04000091552734,117.4000015258789,117.2699966430664,118.01000213623047,116.91999816894531,130.97999572753906,170.9499969482422,192.94000244140625
8,4516,4516,4516,4516,Sell,2016-12-21,2016-12-22 19:07:34,Facebook Inc,FB,Zuckerberg Mark, director officer 10% owner,"126,204",$118.8550,"$14,999,900.0000","350,169",Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=21, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=356, tm_isdst=-1)",119.04000091552734,117.4000015258789,117.2699966430664,118.01000213623047,116.91999816894531,116.3499984741211,132.05999755859375,173.50999450683594,191.33999633789062
9,4664,4664,4664,4664,Sell,2016-12-20,2016-12-22 19:07:34,Facebook Inc,FB,Zuckerberg Mark, director officer 10% owner,"272,606",$119.2190,"$32,499,900.0000",0,Form 4,Technology,494796211626.0,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=20, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=355, tm_isdst=-1)",119.08999633789062,119.04000091552734,117.4000015258789,117.2699966430664,118.01000213623047,116.91999816894531,130.97999572753906,170.9499969482422,192.94000244140625
