,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
0,1021,1021,1021,1021,Buy,2017-01-03,2017-01-05 13:10:35,FIRST BANCORP /PR/,FBP,RIVERA NAYDA, officer,"1,428",$6.7300,"$9,610.4400","394,042",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
1,1022,1022,1022,1022,Buy,2017-01-03,2017-01-05 13:09:09,FIRST BANCORP /PR/,FBP,MARTINO EMILIO, officer,857,$6.7300,"$5,767.6100","288,803",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
2,1170,1170,1170,1170,Sell,2017-01-03,2017-01-05 13:10:35,FIRST BANCORP /PR/,FBP,RIVERA NAYDA, officer,469,$6.7300,"$3,156.3700","393,573",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
3,1172,1172,1172,1172,Sell,2017-01-03,2017-01-05 13:09:09,FIRST BANCORP /PR/,FBP,MARTINO EMILIO, officer,286,$6.7300,"$1,924.7800","288,517",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
4,1231,1231,1231,1231,Buy,2017-01-03,2017-01-05 10:24:56,FIRST BANCORP /PR/,FBP,Berges Gonzalez Orlando, officer,"1,943",$6.7300,"$13,076.4000","582,183",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
5,1236,1236,1236,1236,Sell,2017-01-03,2017-01-05 10:09:50,FIRST BANCORP /PR/,FBP,Power Carlos, officer,419,$6.7300,"$2,819.8700","284,834",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
6,1237,1237,1237,1237,Sell,2017-01-03,2017-01-05 10:06:59,FIRST BANCORP /PR/,FBP,PANCHAM CASSAN, officer,471,$6.7300,"$3,169.8300","380,425",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
7,1238,1238,1238,1238,Buy,2017-01-03,2017-01-05 10:02:57,FIRST BANCORP /PR/,FBP,Kafka Donald, officer,"1,428",$6.7300,"$9,610.4400","161,596",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
8,1240,1240,1240,1240,Sell,2017-01-03,2017-01-05 09:59:23,FIRST BANCORP /PR/,FBP,McDonald Michael, officer,250,$6.7300,"$1,682.5000","197,563",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
9,1243,1243,1243,1243,Sell,2017-01-03,2017-01-05 09:52:20,FIRST BANCORP /PR/,FBP,Lopez-Lay Ginoris, officer,538,$6.7300,"$3,620.7400","352,165",Form 4,Finance,2472172639.22,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",6.689697742462158,6.868619918823242,6.789098739624023,6.789098739624023,6.699637413024902,6.958080291748047,6.560475826263428,5.477003574371338,7.743349552154541
