,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
0,1566,1566,1566,1566,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"1,200",$781.5360,"$937,843.0000","19,508,100",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
1,1567,1567,1567,1567,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"3,501",$806.3020,"$2,822,860.0000","6,992",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
2,1568,1568,1568,1568,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"2,610",$786.3370,"$2,052,340.0000","19,494,500",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
3,1569,1569,1569,1569,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"1,984",$804.3750,"$1,595,880.0000","13,162",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
4,1570,1570,1570,1570,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"2,733",$785.4280,"$2,146,580.0000","19,497,100",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
5,1571,1571,1571,1571,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"3,846",$807.4250,"$3,105,360.0000","3,146",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
6,1572,1572,1572,1572,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,400,$780.2420,"$312,097.0000","19,509,300",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
7,1573,1573,1573,1573,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,"2,669",$805.4320,"$2,149,700.0000","10,493",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
8,1574,1574,1574,1574,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,221,$801.9500,"$177,231.0000","15,949",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
9,1575,1575,1575,1575,Sell,2017-01-03,2017-01-04 18:51:35,Alphabet Inc.,GOOG,Brin Sergey, director officer 10% owner,400,$800.8850,"$320,354.0000","16,170",Form 4,Technology,829579830074.72,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",786.1400146484375,786.9000244140625,794.02001953125,806.1500244140625,806.6500244140625,804.7899780273438,818.97998046875,931.5800170898438,1152.260009765625
