,level_0,index,Unnamed: 0,Unnamed: 0.1,Buy/Sell,Transaction Date,Acceptance Date Time,Issuer Name,Issuer Trading Symbol,Reporting Owner Name,Reporting Owner Relationship,Transcation Share,Price Per share,Total Value,Shares Owned Following Transaction,Form,sector,market_cap,new_trans_date,Adj Close,Adj Close day1,Adj Close day2,Adj Close day3,Adj Close day4,Adj Close day5,Adj Close month,Adj Close 6month,Adj Close year
0,52,52,52,52,Sell,2017-01-03,2017-01-06 18:04:22,SYNNEX CORP,SNX,POLK DENNIS, officer,"1,000",$122.1200,"$122,120.0000","47,859",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",118.02661895751953,120.25593566894531,120.04176330566406,118.4452133178711,117.4035873413086,118.90276336669922,116.41525268554688,112.56246185302734,114.89932250976562
1,1390,1390,1390,1390,Sell,2017-01-03,2017-01-05 09:56:03,SYNNEX CORP,SNX,BREIDENBACH FRED A, director,390,$122.1200,"$47,626.8000","18,979",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=-1)",118.02661895751953,120.25593566894531,120.04176330566406,118.4452133178711,117.4035873413086,118.90276336669922,116.41525268554688,112.56246185302734,114.89932250976562
2,12927,12927,12927,12927,Sell,2016-12-01,2016-12-05 09:41:06,SYNNEX CORP,SNX,POLK DENNIS, officer,"1,000",$116.9500,"$116,950.0000","52,859",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=12, tm_mday=1, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=336, tm_isdst=-1)",114.38575744628906,115.58314514160156,118.47442626953125,119.41871643066406,121.07367706298828,123.42953491210938,119.54659271240234,111.51394653320312,110.48277282714844
3,25507,25507,25507,25507,Sell,2016-10-31,2016-11-02 10:53:30,SYNNEX CORP,SNX,MIAU MATTHEW, director,"3,000",$102.0870,"$306,260.0000","4,208,890",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=31, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",99.82225036621094,98.39122009277344,98.42041778564453,98.02128601074219,97.99207305908203,101.2240982055664,123.98442077636719,118.76528930664062,102.23262786865234
4,25703,25703,25703,25703,Sell,2016-10-31,2016-11-01 21:25:54,SYNNEX CORP,SNX,Synnex Technology International CORP, other,"3,000",$102.0870,"$306,260.0000","4,208,890",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=31, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=305, tm_isdst=-1)",99.82225036621094,98.39122009277344,98.42041778564453,98.02128601074219,97.99207305908203,101.2240982055664,123.98442077636719,118.76528930664062,102.23262786865234
5,26121,26121,26121,26121,Sell,2016-10-28,2016-10-31 21:12:18,SYNNEX CORP,SNX,SILVER STAR DEVEOPMENTS LTD, 10% owner,681,$103.1670,"$70,256.5000","5,448,880",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=302, tm_isdst=-1)",99.18948364257812,99.82225036621094,98.39122009277344,98.42041778564453,98.02128601074219,97.99207305908203,122.13477325439453,118.86328125,101.93621826171875
6,26384,26384,26384,26384,Sell,2016-10-28,2016-10-31 14:13:17,SYNNEX CORP,SNX,MIAU MATTHEW, director,681,$103.1670,"$70,256.5000","5,448,880",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=302, tm_isdst=-1)",99.18948364257812,99.82225036621094,98.39122009277344,98.42041778564453,98.02128601074219,97.99207305908203,122.13477325439453,118.86328125,101.93621826171875
7,26527,26527,26527,26527,Sell,2016-10-26,2016-10-28 13:35:46,SYNNEX CORP,SNX,MIAU MATTHEW, director,"3,100",$103.8720,"$322,005.0000","5,450,760",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=300, tm_isdst=-1)",100.33821105957031,99.90013122558594,99.18948364257812,99.82225036621094,98.39122009277344,98.42041778564453,123.42953491210938,118.59870910644531,101.58052825927734
8,26528,26528,26528,26528,Sell,2016-10-26,2016-10-28 13:35:46,SYNNEX CORP,SNX,MIAU MATTHEW, director,"3,000",$104.0100,"$312,030.0000","5,459,760",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=300, tm_isdst=-1)",100.33821105957031,99.90013122558594,99.18948364257812,99.82225036621094,98.39122009277344,98.42041778564453,123.42953491210938,118.59870910644531,101.58052825927734
9,26529,26529,26529,26529,Sell,2016-10-26,2016-10-28 13:35:46,SYNNEX CORP,SNX,MIAU MATTHEW, director,"5,900",$103.6100,"$611,299.0000","5,453,860",Form 4,Technology,4874578787.24,"time.struct_time(tm_year=2016, tm_mon=10, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=300, tm_isdst=-1)",100.33821105957031,99.90013122558594,99.18948364257812,99.82225036621094,98.39122009277344,98.42041778564453,123.42953491210938,118.59870910644531,101.58052825927734
